Data,NDVI,Year
2000-02-18,0.4820575065222545,2000
2000-03-05,0.4761601075183806,2000
2000-03-21,0.4838060716262155,2000
2000-04-06,0.4959764803541779,2000
2000-04-22,0.4686062613645346,2000
2000-05-08,0.4564370543125938,2000
2000-05-24,0.401324942683216,2000
2000-06-09,0.4083249505889793,2000
2000-06-25,0.3705362558305003,2000
2000-07-11,0.3753575934856508,2000
2000-07-27,0.3243511977231401,2000
2000-08-12,0.2942674915013043,2000
2000-08-28,0.2725065459720136,2000
2000-09-13,0.3467703850106726,2000
2000-09-29,0.3565852873744958,2000
2000-10-15,0.3672983714127597,2000
2000-10-31,0.2986689810426539,2000
2000-11-16,0.4503268878357028,2000
2000-12-02,0.494897589885421,2000
2000-12-18,0.4815133939154486,2000
2001-01-01,0.4702663665086887,2001
2001-01-17,0.4993713586097943,2001
2001-02-02,0.4851671041189024,2001
2001-02-18,0.4602160328879749,2001
2001-03-06,0.4692359791287847,2001
2001-03-22,0.4825542730650641,2001
2001-04-07,0.4409557593485649,2001
2001-04-23,0.4649139852952799,2001
2001-05-09,0.4466106095343503,2001
2001-05-25,0.4444067119930426,2001
2001-06-10,0.4149584077792708,2001
2001-06-26,0.3601646612380424,2001
2001-07-12,0.3550081903707802,2001
2001-07-28,0.3496959443434262,2001
2001-08-13,0.3262624397185548,2001
2001-08-29,0.3369811842833424,2001
2001-09-14,0.1933556961024586,2001
2001-09-30,0.3494285714285713,2001
2001-10-16,0.3712906553877776,2001
2001-11-01,0.439141943127962,2001
2001-11-17,0.5484091311216428,2001
2001-12-03,0.4505838245752668,2001
2001-12-19,0.3396653733702094,2001
2002-01-01,0.5466885860979462,2002
2002-01-17,0.4811192101105845,2002
2002-02-02,0.5638589611827021,2002
2002-02-18,0.4845672385168784,2002
2002-03-06,0.5006828840224521,2002
2002-03-22,0.4513205549845835,2002
2002-04-07,0.4382801486283499,2002
2002-04-23,0.4637721084670723,2002
2002-05-09,0.4530177168155584,2002
2002-05-25,0.4505349830026088,2002
2002-06-10,0.420184979049727,2002
2002-06-26,0.395801502095027,2002
2002-07-12,0.3818356312751994,2002
2002-07-28,0.360512222310064,2002
2002-08-13,0.335503494347379,2002
2002-08-29,0.3321288718475767,2002
2002-09-14,0.3452982765436001,2002
2002-09-30,0.3574500197644081,2002
2002-10-16,0.3619500513874612,2002
2002-11-01,0.3774556003159556,2002
2002-11-17,0.4438143127962083,2002
2002-12-03,0.5028394813819271,2002
2002-12-19,0.4955661319636509,2002
2003-01-01,0.471794078583287,2003
2003-01-17,0.4827338151658767,2003
2003-02-02,0.4574679026009959,2003
2003-02-18,0.450766621867341,2003
2003-03-06,0.4705072100561306,2003
2003-03-22,0.4840427464621708,2003
2003-04-07,0.4321908767491499,2003
2003-04-23,0.4704633251640444,2003
2003-05-09,0.446322349592853,2003
2003-05-25,0.3922663293540989,2003
2003-06-10,0.4008501699739108,2003
2003-06-26,0.348227646454265,2003
2003-07-12,0.3209071468100245,2003
2003-07-28,0.3269201992252351,2003
2003-08-13,0.3155969167523125,2003
2003-08-29,0.3114646928610956,2003
2003-09-14,0.3205342556723851,2003
2003-09-30,0.3282521859435527,2003
2003-10-16,0.3239617361056208,2003
2003-11-01,0.3649925355450236,2003
2003-11-17,0.3559060979462874,2003
2003-12-03,0.3983470881074675,2003
2003-12-19,0.4171214697747928,2003
2004-01-01,0.4331172274881515,2004
2004-01-17,0.4788846682464454,2004
2004-02-02,0.3685659735947505,2004
2004-02-18,0.4698843782117163,2004
2004-03-05,0.4688177563443749,2004
2004-03-21,0.5123223021582731,2004
2004-04-06,0.4895094315756184,2004
2004-04-22,0.5012057949244997,2004
2004-05-08,0.489067538935884,2004
2004-05-24,0.4998637125464463,2004
2004-06-09,0.4355476796584708,2004
2004-06-25,0.4367958969088464,2004
2004-07-11,0.466235568029093,2004
2004-07-27,0.4134708672622338,2004
2004-08-12,0.3673650090916276,2004
2004-08-28,0.3635358921653884,2004
2004-09-13,0.3495780298837851,2004
2004-09-29,0.3299514823306189,2004
2004-10-15,0.376125235196458,2004
2004-10-31,0.3630886255924168,2004
2004-11-16,0.4195968246445496,2004
2004-12-02,0.3480115369419203,2004
2004-12-18,0.4847312208613198,2004
2005-01-01,0.4893998025276458,2005
2005-01-17,0.4455718246445496,2005
2005-02-02,0.5051098189580201,2005
2005-02-18,0.5173713178907421,2005
2005-03-06,0.4887047750810339,2005
2005-03-22,0.5074126017867022,2005
2005-04-07,0.47969003873824,2005
2005-04-23,0.4921549924895246,2005
2005-05-09,0.4575932168550871,2005
2005-05-25,0.4941360344691278,2005
2005-06-10,0.4684936358605421,2005
2005-06-26,0.4684821013518853,2005
2005-07-12,0.4205784647007667,2005
2005-07-28,0.4032133686457426,2005
2005-08-13,0.3896686299312198,2005
2005-08-29,0.3879137402166177,2005
2005-09-14,0.4155083642975729,2005
2005-09-30,0.3623317811684717,2005
2005-10-16,0.4002713574195586,2005
2005-11-01,0.4274919984202209,2005
2005-11-17,0.3671601421800946,2005
2005-12-03,0.1386379454760964,2005
2005-12-19,0.4680563255630188,2005
2006-01-01,0.4564579383886255,2006
2006-01-17,0.4401508530805685,2006
2006-02-02,0.4148552691912402,2006
2006-02-18,0.4201478298679736,2006
2006-03-06,0.4999965688987271,2006
2006-03-22,0.48413220807969,2006
2006-04-07,0.5214334809075815,2006
2006-04-23,0.5075038263894379,2006
2006-05-09,0.4816718238595935,2006
2006-05-25,0.4389341449916987,2006
2006-06-10,0.4168111471262548,2006
2006-06-26,0.3851969246580756,2006
2006-07-12,0.3661422563048462,2006
2006-07-28,0.2988265554589294,2006
2006-08-13,0.3240241442011226,2006
2006-08-29,0.335665752233378,2006
2006-09-14,0.3179203494347378,2006
2006-09-30,0.3657694916594196,2006
2006-10-16,0.3040054945054946,2006
2006-11-01,0.4840013586097944,2006
2006-11-17,0.4822591311216428,2006
2006-12-03,0.4441834689845912,2006
2006-12-19,0.4879101935993681,2006
2007-01-01,0.2976229383886256,2007
2007-01-17,0.4864222669826222,2007
2007-02-02,0.4703496798165861,2007
2007-02-18,0.5070500513874613,2007
2007-03-06,0.4711514744248556,2007
2007-03-22,0.4598251956676416,2007
2007-04-07,0.4711654439086092,2007
2007-04-23,0.4772180409518538,2007
2007-05-09,0.4511550873586842,2007
2007-05-25,0.4052946240809548,2007
2007-06-10,0.4280691200885442,2007
2007-06-26,0.3736066803699895,2007
2007-07-12,0.3760128389596014,2007
2007-07-28,0.3665891137639337,2007
2007-08-13,0.3502953751284686,2007
2007-08-29,0.351850462487153,2007
2007-09-14,0.3386489999209423,2007
2007-09-30,0.337679413392363,2007
2007-10-16,0.3493380188157165,2007
2007-11-01,0.3838853317535545,2007
2007-11-17,0.4250968325434437,2007
2007-12-03,0.4286893480837614,2007
2007-12-19,0.4549465349664167,2007
2008-01-01,0.4310541706161136,2008
2008-01-17,0.4262787914691942,2008
2008-02-02,0.4514883943394734,2008
2008-02-18,0.4690633646928611,2008
2008-03-05,0.4276861332911691,2008
2008-03-21,0.4811812712467388,2008
2008-04-06,0.4644528816507232,2008
2008-04-22,0.4663709779429201,2008
2008-05-08,0.4858293145703215,2008
2008-05-24,0.4422701715550635,2008
2008-06-09,0.3890987034548183,2008
2008-06-25,0.3911053996363346,2008
2008-07-11,0.371812119535141,2008
2008-07-27,0.3351522175666058,2008
2008-08-12,0.3396980709937543,2008
2008-08-28,0.3388611589848997,2008
2008-09-13,0.2878510870424539,2008
2008-09-29,0.3062098268637836,2008
2008-10-15,0.3726712467388725,2008
2008-10-31,0.3379671642969982,2008
2008-11-16,0.4198159557661927,2008
2008-12-02,0.419023358356381,2008
2008-12-18,0.13046290003951,2008
2009-01-01,0.4642453080568719,2009
2009-01-17,0.2198894786729857,2009
2009-02-02,0.3608659577832238,2009
2009-02-18,0.4438689619732783,2009
2009-03-06,0.4725457585579887,2009
2009-03-22,0.455758123171792,2009
2009-04-07,0.4704750968456003,2009
2009-04-23,0.485451490236382,2009
2009-05-09,0.4412461617519169,2009
2009-05-25,0.4251582338524782,2009
2009-06-10,0.4661734682583603,2009
2009-06-26,0.4206965530872004,2009
2009-07-12,0.3944139141434103,2009
2009-07-28,0.4011252905368013,2009
2009-08-13,0.3840522570954223,2009
2009-08-29,0.3497762827100955,2009
2009-09-14,0.3682852952802591,2009
2009-09-30,0.403559198355601,2009
2009-10-16,0.4563327298600678,2009
2009-11-01,0.4292913902053712,2009
2009-11-17,0.4370942733017376,2009
2009-12-03,0.4812494033978665,2009
2009-12-19,0.4523744685894905,2009
2010-01-01,0.4433818799368086,2010
2010-01-17,0.449576279620853,2010
2010-02-02,0.3960410625345875,2010
2010-02-18,0.3851619100324133,2010
2010-03-06,0.425858123171792,2010
2010-03-22,0.4559716024982209,2010
2010-04-07,0.4641998814135503,2010
2010-04-23,0.4290116768123962,2010
2010-05-09,0.4336324689698789,2010
2010-05-25,0.4507017471736894,2010
2010-06-10,0.4135235512688748,2010
2010-06-26,0.3971993675389357,2010
2010-07-12,0.3424753735473159,2010
2010-07-28,0.3604571902917226,2010
2010-08-13,0.3495063957625108,2010
2010-08-29,0.3183027670171554,2010
2010-09-14,0.2433642659498773,2010
2010-09-30,0.3755328958810972,2010
2010-10-16,0.3664795952249188,2010
2010-11-01,0.1799086887835702,2010
2010-11-17,0.4024472116903632,2010
2010-12-03,0.4799470564994075,2010
2010-12-19,0.4887407585934414,2010
2011-01-01,0.4829543285939966,2011
2011-01-17,0.4663300473933647,2011
2011-02-02,0.4266345719029171,2011
2011-02-18,0.4418919914617754,2011
2011-03-06,0.4960934777452761,2011
2011-03-22,0.4731317653569451,2011
2011-04-07,0.5162668748517666,2011
2011-04-23,0.5025460194481775,2011
2011-05-09,0.4783558225946713,2011
2011-05-25,0.4253614673096684,2011
2011-06-10,0.4408595462091864,2011
2011-06-26,0.396968218831528,2011
2011-07-12,0.3916777452763063,2011
2011-07-28,0.3789945924579016,2011
2011-08-13,0.3541537908135029,2011
